,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
350,male,no,yes,yes,37,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),62.8,2278.75,no
647,male,no,yes,yes,50,yes,yes,dsl,no,no,yes,yes,yes,no,one year,yes,electronic check,69.65,3442.15,no
6696,male,no,no,no,5,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,no,electronic check,96.55,500.1,no
5357,male,no,yes,no,60,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.95,1258.15,no
6886,female,yes,no,no,8,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,no,electronic check,101.35,780.5,yes
103,female,yes,yes,no,66,no,no phone service,dsl,no,yes,yes,no,yes,no,one year,no,bank transfer (automatic),45.55,3027.25,no
2458,male,yes,yes,no,50,yes,yes,fiber optic,yes,no,yes,no,yes,yes,two year,yes,credit card (automatic),105.05,5163.3,no
4500,male,no,yes,yes,61,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,no,credit card (automatic),103.9,6449.15,no
282,female,no,no,yes,1,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,25.4,25.4,no
2477,male,no,no,no,3,yes,no,fiber optic,yes,no,no,no,no,yes,month-to-month,yes,mailed check,86.05,244.85,no
4775,female,no,yes,no,24,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),99.3,2431.35,yes
1150,female,no,no,no,41,no,no phone service,dsl,no,yes,no,no,no,yes,month-to-month,yes,electronic check,40.35,1677.85,no
6114,male,no,no,no,8,yes,no,dsl,no,yes,no,yes,yes,no,month-to-month,yes,electronic check,66.65,520.95,no
1072,male,no,no,no,22,no,no phone service,dsl,no,no,yes,yes,yes,yes,two year,no,bank transfer (automatic),56.75,1304.85,no
4911,male,yes,yes,no,72,yes,no,fiber optic,yes,yes,no,yes,no,no,two year,yes,credit card (automatic),84.8,6141.65,no
3769,female,no,yes,yes,40,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,26.2,1077.5,no
2818,male,no,yes,yes,29,yes,no,fiber optic,yes,no,no,no,yes,yes,month-to-month,no,credit card (automatic),94.65,2649.15,yes
1733,male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.05,19.05,no
2105,female,no,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,75.25,242.0,yes
354,female,yes,no,no,21,no,no phone service,dsl,yes,no,no,no,yes,no,month-to-month,yes,electronic check,41.9,840.1,yes
342,female,no,yes,yes,66,yes,yes,dsl,yes,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),67.45,4508.65,no
2769,female,no,no,no,15,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),19.75,297.3,yes
4119,male,no,no,no,35,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,19.15,638.0,no
2196,female,no,yes,yes,19,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.2,382.2,no
4766,female,no,no,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),113.15,7993.3,no
928,female,no,yes,yes,68,yes,yes,fiber optic,no,yes,no,yes,yes,yes,two year,yes,credit card (automatic),103.75,7039.45,no
6635,male,no,yes,no,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.1,533.9,no
1080,male,no,no,no,32,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),20.05,614.45,no
6712,male,no,yes,yes,28,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,no,electronic check,85.45,2289.9,no
3354,female,no,no,no,54,no,no phone service,dsl,yes,no,no,yes,no,yes,one year,no,bank transfer (automatic),44.1,2369.7,no
3164,male,no,no,no,31,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,101.4,3143.65,no
6290,female,no,yes,no,71,yes,yes,fiber optic,no,no,no,no,yes,yes,two year,yes,bank transfer (automatic),93.7,6585.35,yes
4268,male,no,yes,yes,35,yes,no,fiber optic,no,yes,no,yes,yes,no,one year,yes,electronic check,89.7,3165.6,no
5457,female,no,yes,yes,11,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),51.0,581.7,no
5770,female,no,yes,no,37,yes,yes,dsl,yes,no,yes,yes,no,no,one year,no,credit card (automatic),68.1,2479.25,no
376,male,no,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,25.35,25.35,no
2301,female,no,yes,no,8,yes,yes,fiber optic,no,no,no,yes,no,yes,month-to-month,yes,electronic check,90.25,743.75,no
1213,female,no,yes,yes,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.2,1412.65,no
2132,male,no,yes,yes,23,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.65,436.9,no
3966,male,no,yes,yes,72,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,two year,yes,credit card (automatic),107.7,7919.8,no
4227,male,no,yes,yes,69,yes,no,dsl,yes,yes,no,yes,yes,yes,two year,no,bank transfer (automatic),80.65,5542.55,no
6463,male,no,yes,no,59,yes,yes,dsl,yes,no,no,yes,no,yes,one year,yes,mailed check,69.1,4096.9,no
3306,female,no,yes,yes,3,yes,no,fiber optic,no,yes,no,yes,no,no,month-to-month,yes,electronic check,80.0,241.3,no
798,female,no,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,20.0,20.0,no
1175,female,no,no,no,13,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,credit card (automatic),80.0,1029.35,no
2091,female,no,no,yes,50,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.15,970.85,no
2856,male,no,no,no,1,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,50.15,50.15,no
5828,female,no,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),24.45,1709.1,no
2264,male,no,no,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),114.95,7711.25,no
2615,female,no,no,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),91.35,6697.2,no
5058,female,no,no,no,30,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,48.8,1536.75,no
728,female,yes,no,no,30,yes,yes,fiber optic,yes,yes,yes,no,no,no,month-to-month,no,credit card (automatic),91.7,2758.15,yes
3098,male,yes,yes,no,30,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,mailed check,79.65,2365.15,yes
3227,male,no,yes,yes,12,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,mailed check,56.3,628.65,no
5035,male,no,no,no,20,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,no,electronic check,78.8,1641.3,no
1774,male,no,yes,yes,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,48.75,48.75,no
148,male,no,no,yes,30,yes,no,dsl,no,yes,yes,no,yes,no,one year,no,credit card (automatic),64.5,1929.95,no
4644,male,no,no,no,13,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,mailed check,50.55,610.75,no
3394,male,no,no,no,26,yes,yes,dsl,yes,yes,no,no,no,no,one year,no,electronic check,61.55,1581.95,no
4439,male,no,yes,yes,28,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),20.3,487.95,no
6230,female,no,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,20.05,no
2719,female,yes,yes,yes,56,yes,no,dsl,yes,no,no,yes,yes,yes,two year,yes,credit card (automatic),72.6,4084.35,no
6062,female,yes,no,no,53,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),73.8,4003.85,no
3994,female,yes,yes,no,54,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,yes,credit card (automatic),101.5,5373.1,yes
6339,male,no,no,yes,1,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,mailed check,49.9,49.9,yes
6158,male,no,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.65,31.2,no
6165,male,yes,no,no,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.65,293.85,no
2943,male,no,no,no,40,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,24.6,973.95,no
1812,male,no,yes,no,17,yes,no,fiber optic,no,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),96.65,1588.25,no
6418,male,no,yes,no,31,yes,yes,dsl,no,no,yes,yes,yes,yes,one year,yes,mailed check,79.3,2484.0,no
4099,female,no,no,no,6,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),29.45,161.45,no
2083,female,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.15,20.15,yes
6653,female,no,no,no,28,no,no phone service,dsl,no,no,yes,no,no,no,month-to-month,yes,mailed check,29.75,790.7,no
6994,female,no,yes,yes,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),24.45,993.15,no
7035,male,no,no,no,19,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),78.7,1495.1,no
1597,male,no,yes,no,48,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,bank transfer (automatic),96.9,4473.45,no
2522,male,no,yes,yes,53,yes,yes,dsl,no,no,yes,yes,yes,yes,one year,yes,mailed check,78.75,3942.45,no
3860,male,no,no,yes,19,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),25.35,566.1,no
5148,male,no,yes,no,65,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,electronic check,99.35,6347.55,no
19,female,no,no,no,21,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,90.05,1862.9,no
1026,male,yes,no,no,8,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.6,819.4,yes
750,female,no,no,no,27,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,mailed check,56.7,1652.95,no
6667,female,no,no,no,9,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,79.55,723.4,yes
2022,female,no,no,no,16,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,86.25,1340.1,no
1520,female,no,yes,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.6,55.25,no
2563,male,yes,no,no,25,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,no,mailed check,105.95,2655.25,yes
1856,female,yes,no,no,38,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,credit card (automatic),57.15,2250.65,yes
6816,male,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.3,70.3,yes
897,female,no,no,no,53,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,no,electronic check,105.55,5682.25,no
5114,female,yes,no,no,50,yes,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,yes,electronic check,83.4,4113.7,no
6129,male,no,yes,no,52,no,no phone service,dsl,yes,no,no,no,no,yes,month-to-month,yes,electronic check,39.9,2020.9,no
3308,female,no,yes,no,15,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.2,387.9,no
3377,male,no,yes,no,68,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.05,1629.2,no
888,male,no,yes,yes,37,yes,no,fiber optic,no,no,no,no,yes,yes,one year,no,credit card (automatic),91.2,3247.55,no
2820,male,no,no,no,53,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),24.05,1301.9,no
2403,female,no,yes,no,71,yes,no,dsl,yes,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),84.8,6046.1,no
6936,male,no,yes,yes,5,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,80.15,385.0,yes
3114,male,no,no,no,5,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,no,bank transfer (automatic),75.15,392.65,no
6889,male,no,no,no,3,yes,no,fiber optic,no,no,yes,yes,yes,no,month-to-month,yes,mailed check,89.85,244.45,no
601,male,no,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.95,47.7,no
1780,female,no,no,yes,18,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),20.15,390.85,yes
4140,female,no,no,no,63,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,bank transfer (automatic),99.9,6137.0,yes
4300,female,no,no,no,24,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),24.6,605.25,no
2166,female,yes,yes,no,59,yes,yes,fiber optic,yes,yes,yes,yes,no,no,one year,yes,electronic check,94.05,5483.9,no
3796,female,no,no,no,15,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,49.1,679.55,yes
4450,male,no,no,no,15,yes,yes,dsl,no,yes,no,yes,no,no,month-to-month,yes,credit card (automatic),58.6,939.7,yes
1870,male,no,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,45.55,45.55,no
6043,male,no,no,no,3,no,no phone service,dsl,no,no,yes,no,yes,no,month-to-month,yes,mailed check,40.15,130.75,yes
1149,male,no,yes,yes,13,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,mailed check,96.65,1162.85,yes
5695,female,no,yes,no,72,yes,yes,fiber optic,yes,no,no,no,no,no,two year,no,bank transfer (automatic),80.45,5737.6,no
821,male,no,yes,yes,43,yes,no,dsl,yes,no,yes,yes,yes,yes,two year,yes,credit card (automatic),79.15,3566.6,no
2164,male,no,yes,yes,70,yes,no,fiber optic,yes,yes,yes,yes,yes,no,two year,yes,credit card (automatic),101.1,6994.8,no
1423,male,no,yes,no,15,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,101.1,1504.05,yes
1573,male,no,yes,yes,47,yes,no,fiber optic,yes,yes,yes,no,no,yes,one year,yes,electronic check,96.1,4391.45,no
4152,male,no,yes,no,65,yes,yes,dsl,yes,no,yes,yes,no,yes,two year,no,bank transfer (automatic),76.15,4929.55,no
6118,male,no,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,118.2,8547.15,no
2601,female,no,yes,yes,72,yes,yes,fiber optic,no,yes,yes,yes,no,yes,two year,yes,bank transfer (automatic),98.65,7129.45,no
2271,female,yes,no,no,40,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.55,3673.6,no
6131,female,yes,no,no,47,yes,yes,fiber optic,no,yes,no,yes,yes,no,month-to-month,yes,electronic check,95.05,4504.55,yes
2467,male,no,yes,yes,49,yes,yes,fiber optic,no,no,no,yes,yes,yes,one year,yes,electronic check,97.95,4917.9,no
5722,female,yes,yes,no,27,yes,yes,fiber optic,yes,no,no,yes,yes,yes,month-to-month,yes,bank transfer (automatic),104.3,2867.75,yes
6218,female,no,yes,yes,70,no,no phone service,dsl,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),58.4,4113.15,no
4234,female,no,no,no,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.05,326.65,no
5665,male,no,no,no,34,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),25.05,852.7,no
6971,female,yes,yes,no,18,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,no,bank transfer (automatic),99.75,1836.25,yes
5767,female,no,yes,no,65,yes,no,dsl,no,no,no,yes,yes,no,two year,yes,credit card (automatic),59.8,3808.2,no
1876,male,no,yes,no,47,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,yes,credit card (automatic),95.2,4563.0,no
1339,male,no,yes,no,66,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),105.0,7133.25,yes
4400,female,no,yes,yes,7,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,24.7,149.05,no
5485,male,no,no,no,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,50.75,50.75,no
6722,female,yes,yes,no,67,yes,yes,fiber optic,yes,no,yes,no,yes,yes,one year,yes,credit card (automatic),107.05,7142.5,no
4791,male,no,yes,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.0,49.65,no
3512,male,yes,no,no,51,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),25.0,1260.7,no
3203,female,no,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),88.05,6520.8,no
3236,male,no,no,no,16,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,no,electronic check,55.3,875.35,no
1333,male,no,no,no,50,no,no phone service,dsl,yes,no,no,yes,no,no,one year,yes,mailed check,35.4,1748.9,no
6351,male,no,yes,yes,50,yes,yes,fiber optic,no,yes,no,yes,yes,yes,month-to-month,no,electronic check,103.7,5071.05,yes
5496,male,no,yes,yes,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,24.25,1077.95,no
6017,male,no,no,no,5,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic check,56.15,291.45,no
1410,female,yes,no,no,2,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,93.85,170.85,yes
6150,male,no,no,no,32,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,91.05,2871.5,no
200,female,no,yes,no,27,yes,no,fiber optic,yes,no,no,yes,yes,yes,one year,yes,credit card (automatic),101.9,2681.15,no
4869,male,no,no,no,16,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,mailed check,80.55,1248.9,no
6547,male,yes,yes,no,68,no,no phone service,dsl,yes,yes,yes,no,no,no,two year,yes,electronic check,41.95,2965.75,no
6959,female,no,no,no,38,yes,no,fiber optic,no,no,no,no,yes,yes,one year,yes,mailed check,89.1,3342.0,no
6583,female,no,no,no,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,19.25,412.55,no
484,female,no,yes,yes,8,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,83.55,680.05,yes
3854,female,no,yes,no,50,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.65,5405.8,no
4284,female,yes,no,no,32,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,90.95,2897.95,no
6676,female,no,yes,yes,41,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),94.3,3893.6,no
4441,male,no,yes,no,42,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,electronic check,20.25,835.5,no
1619,male,no,no,no,69,yes,yes,dsl,yes,yes,yes,yes,no,yes,two year,yes,credit card (automatic),81.5,5553.25,no
4998,male,yes,no,no,62,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),110.75,7053.35,no
1311,male,no,yes,yes,42,no,no phone service,dsl,no,yes,yes,no,no,yes,one year,yes,credit card (automatic),45.1,2049.05,no
2733,female,no,yes,no,1,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,mailed check,55.3,55.3,no
3656,male,yes,yes,no,49,yes,no,dsl,no,yes,no,no,no,no,two year,no,mailed check,49.8,2398.4,no
4592,female,no,yes,yes,39,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,24.2,914.6,no
2018,female,no,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,45.3,45.3,yes
2521,male,yes,yes,no,36,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,credit card (automatic),85.25,3132.75,yes
5445,male,no,yes,yes,62,yes,yes,fiber optic,no,no,yes,no,yes,no,two year,yes,credit card (automatic),89.1,5411.65,no
3757,female,no,no,no,42,yes,no,dsl,no,no,yes,yes,no,yes,two year,no,credit card (automatic),66.5,2762.75,no
5402,female,no,yes,yes,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.35,191.1,no
220,female,no,no,no,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.15,268.35,yes
4171,male,no,no,no,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,18.95,185.6,yes
3765,female,no,no,no,5,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,25.45,134.75,no
5433,male,no,no,no,55,yes,no,fiber optic,yes,yes,no,no,yes,yes,one year,yes,mailed check,100.9,5552.05,no
929,female,no,yes,yes,30,yes,no,fiber optic,no,no,yes,no,no,yes,one year,no,electronic check,86.45,2538.05,no
794,female,no,no,no,6,no,no phone service,dsl,no,no,no,no,yes,yes,month-to-month,no,credit card (automatic),45.0,298.7,no
4657,male,no,yes,no,42,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),25.1,1097.15,no
1562,female,no,yes,yes,7,no,no phone service,dsl,yes,no,no,yes,no,no,month-to-month,no,mailed check,34.65,246.6,no
4425,male,no,yes,yes,14,yes,yes,dsl,yes,yes,no,no,no,yes,month-to-month,no,mailed check,69.2,944.65,no
5670,female,no,yes,yes,17,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,24.1,409.9,yes
377,female,no,yes,no,25,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),104.95,2566.5,yes
6637,male,no,yes,no,69,yes,no,dsl,yes,yes,no,no,no,no,one year,yes,credit card (automatic),53.65,3804.4,no
5807,male,no,no,no,57,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),18.8,1094.35,no
4117,male,no,yes,no,63,yes,no,fiber optic,yes,no,yes,no,yes,yes,two year,no,credit card (automatic),99.7,6330.4,no
6069,male,no,yes,yes,59,yes,no,dsl,no,yes,yes,yes,yes,yes,one year,no,credit card (automatic),76.75,4541.9,no
6321,female,no,yes,no,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),19.65,655.85,yes
4194,female,no,yes,no,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.95,1801.9,no
179,male,no,yes,no,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),20.55,1252.0,no
5582,female,no,no,no,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.0,1183.05,no
4437,male,no,yes,no,60,yes,yes,fiber optic,no,no,yes,no,yes,yes,two year,no,credit card (automatic),101.15,6067.4,no
6144,male,yes,yes,no,23,yes,no,fiber optic,yes,yes,no,no,no,yes,month-to-month,yes,electronic check,90.0,2024.1,no
241,male,no,no,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),109.2,7878.3,no
3021,male,no,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.95,107.05,no
137,female,no,yes,yes,64,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.2,1277.75,no
2923,male,no,no,no,54,yes,no,fiber optic,yes,no,yes,no,yes,no,month-to-month,no,mailed check,89.8,4667.0,no
4849,male,no,no,no,41,no,no phone service,dsl,no,no,yes,no,yes,yes,one year,yes,electronic check,51.35,2075.1,no
3670,female,no,yes,yes,33,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),24.25,838.5,no
6362,female,no,no,no,2,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,74.9,136.05,no
754,female,no,yes,no,2,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,90.35,190.5,no
1201,female,no,no,no,12,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,49.4,611.65,no
4783,female,yes,yes,yes,71,yes,yes,dsl,yes,yes,no,no,yes,no,one year,no,electronic check,69.2,4982.5,no
434,male,no,yes,no,41,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,electronic check,19.75,899.45,no
2751,female,no,yes,yes,19,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,24.85,434.8,no
1868,male,no,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),44.05,44.05,no
4136,male,no,yes,no,47,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),19.9,942.95,no
4491,male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),19.75,19.75,no
5720,female,no,no,no,32,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,credit card (automatic),104.05,3416.85,no
3018,male,yes,no,no,67,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.1,1672.15,no
1624,female,no,yes,no,56,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,yes,electronic check,98.25,5508.35,yes
5044,male,no,yes,no,22,yes,no,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,yes,electronic check,104.6,2180.55,no
6830,male,no,no,no,35,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,20.2,684.4,no
1518,female,no,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),20.55,96.1,no
3820,male,yes,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,month-to-month,yes,credit card (automatic),112.9,8061.5,no
1212,male,no,no,no,7,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.55,521.35,no
6663,female,no,no,no,1,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic check,54.65,54.65,no
